shot_id,is_goal,actual_gk_x,actual_gk_y,actual_v,optimal_gk_x,optimal_gk_y,optimal_v,regret,category
9d58e332-685a-44ab-a777-b6b234b103c4,1,108.5,38.8,0.3640349209308624,119.0,40.0,0.18284648656845093,0.1811884343624115,user
0c5620fc-6589-44c4-ba23-dee1a5c8d929,1,116.1,43.6,0.40463507175445557,112.5,45.5,0.20538514852523804,0.19924992322921753,user
ff82f3b7-7cd4-4822-b2a8-b6fce3ec3158,0,114.2,44.6,0.282194584608078,119.0,40.0,0.10284526646137238,0.17934931814670563,user
cb22793f-8f19-400c-9506-9f5d4e44d91b,0,117.9,49.4,0.04896968975663185,119.0,39.5,0.04222956299781799,0.006740126758813858,user
2b44a51a-5755-46b8-bd4d-ca146c9e308c,0,118.5,40.3,0.005254512652754784,118.5,40.0,0.005205731838941574,4.8780813813209534e-05,user
638092fe-ab55-41e0-9243-7ac7c05601d4,0,118.6,40.2,0.007820012979209423,119.0,38.0,0.007615020498633385,0.00020499248057603836,user
2e571682-4d39-414c-ad5d-e95a61e0fd48,0,117.2,35.1,0.1538502424955368,119.0,39.5,0.07590455561876297,0.07794568687677383,user
33246ed7-1eca-4464-9300-0513852ab0a8,0,115.7,40.2,0.038222357630729675,119.0,40.0,0.021169332787394524,0.01705302484333515,user
